config,signal,horizon_bars,n_events,mean_bp,se_bp,t_stat,ci95_lo_bp,ci95_hi_bp
delta10_bar5m,H1,1,4609,0.24750044632642473,0.2860054083684207,0.8653698114953288,-0.30981920285830655,0.8113219979459027
delta10_bar5m,H1,3,4609,0.4758982358727436,0.447049892460202,1.064530478362904,-0.4266297091519449,1.325805869292047
delta10_bar5m,H1,6,4609,1.5423417342282606,0.5894734477572195,2.6164736343874972,0.39225062605924355,2.7029865412675442
delta10_bar5m,H1,12,4609,2.054310262691091,0.8287127078553087,2.478917293313389,0.4362112862334359,3.684765101026245
delta10_bar5m,H1,48,4609,2.2243097780345673,1.4447336942838582,1.539598464987098,-0.6461518816876849,5.01720419990504
delta10_bar5m,H2,1,2492,0.11711879887879073,0.5747866266596113,0.2037604798835177,-1.0226621774140807,1.2305013990915956
delta10_bar5m,H2,3,2492,1.0247859055689568,0.8095675719352075,1.2658435701905486,-0.5604414627526799,2.6130634192333333
delta10_bar5m,H2,6,2492,1.3960229747439183,1.0289722742356242,1.3567158316106807,-0.6133274444240033,3.420243870579643
delta10_bar5m,H2,12,2492,2.054596082070346,1.337626971891438,1.5360007873982207,-0.5597679278801677,4.683729801934269
delta10_bar5m,H2,48,2492,1.4218352812793174,2.4718555932732467,0.5752096866615554,-3.4399273518618476,6.249746573769279
delta10_bar5m,H3,1,277,-0.06639115807869789,1.5337101017582992,-0.043287944705185634,-3.1150985508434137,2.8970450480491197
delta10_bar5m,H3,3,277,-0.055546665582721984,2.513629699958604,-0.022098189555779343,-4.94628919652432,4.907139227313408
delta10_bar5m,H3,6,277,-4.413202456753781,3.2611676455309357,-1.3532583836349472,-10.786418014443454,1.997359156037815
delta10_bar5m,H3,12,277,-9.82769931276661,4.209450058164393,-2.33467535591862,-17.982571560479848,-1.4815273324754268
delta10_bar5m,H3,48,277,1.7823626358325237,8.197528028620836,0.21742684253223482,-13.939502106164289,18.19480776602939
delta10_bar5m,H6,1,295,1.7698952814602342,1.6953499042505162,1.0439704966053442,-1.5151517334161253,5.130619891245899
delta10_bar5m,H6,3,295,-1.7852915460316339,2.79528219153204,-0.6386802561258226,-7.533132840906436,3.424373349899159
delta10_bar5m,H6,6,295,-1.0223388650265322,3.4535620209189384,-0.2960244694706551,-7.996703149741866,5.541259972260371
delta10_bar5m,H6,12,295,4.212964965771149,4.7999220331280394,0.8777152913514349,-5.324568354366857,13.491126015495059
delta10_bar5m,H6,48,295,8.170989980462618,7.689255352689276,1.0626503615340148,-6.793986799143032,23.347894183398935
delta50_bar5m,H1,1,4609,0.24841778631678635,0.2887240144645326,0.8603987679289574,-0.3308545066867771,0.8009436300141908
delta50_bar5m,H1,3,4609,0.4771649274514408,0.45177631131615664,1.0561973160153522,-0.42181406871435784,1.349149071644976
delta50_bar5m,H1,6,4609,1.5433953365254658,0.596420391226129,2.5877641999337633,0.36127565299439157,2.6992435866008173
delta50_bar5m,H1,12,4609,2.055620949297869,0.8281505480411139,2.4821826830401577,0.3925691978873275,3.638919346208494
delta50_bar5m,H1,48,4609,2.2254439265993864,1.4226187550572762,1.5643291069291347,-0.5192099803079109,5.057455539516612
delta50_bar5m,H2,1,280,1.3204132301426215,2.1696181145031765,0.6085924621093903,-2.944590518092166,5.560312490760286
delta50_bar5m,H2,3,280,0.5889772122855016,2.8960802673499058,0.20337047247121107,-5.133799474491951,6.21883517351968
delta50_bar5m,H2,6,280,0.7982127191016802,3.529651286060165,0.22614492322629806,-6.242790379941077,7.5934426614147705
delta50_bar5m,H2,12,280,2.127247990360754,4.468842870942349,0.47601762957312915,-6.714799015686465,10.803065038407546
delta50_bar5m,H2,48,280,0.7809088285603981,6.828376221252661,0.11436230272870655,-12.47913715914703,14.2880976281634
delta50_bar5m,H3,1,44,0.026063008714296416,3.0052610599658083,0.008672460792671683,-5.8950683133868536,5.8855550416791145
delta50_bar5m,H3,3,44,3.443897246064934,4.966819271899837,0.6933808253400819,-6.1154308138185245,13.354500732028834
delta50_bar5m,H3,6,44,8.222620144315677,7.0559632441065085,1.1653433925103873,-4.928961071458503,22.73041484543901
delta50_bar5m,H3,12,44,11.952045212857714,7.757123103967331,1.5407832327354605,-2.5926928046131628,27.81522976293877
delta50_bar5m,H3,48,44,12.017992303039891,13.588977895125037,0.8843926596827619,-14.621666677971007,38.64712667091914
delta50_bar5m,H6,1,298,0.6987821901993025,2.0734185891602954,0.337019352412722,-3.5327892526255913,4.595011616882766
delta50_bar5m,H6,3,298,-1.0790991542067172,3.2077022582672576,-0.3364087646930258,-7.2986972015967115,5.275495650810938
delta50_bar5m,H6,6,298,-2.5468108109458636,3.6473551460620506,-0.6982623596979816,-9.912679056966576,4.384953115596663
